生活大爆炸  第三季,9.3,(119813人评价)
卫国勇士,7.9,(234人评价)
生活大爆炸  第四季,9.2,(104498人评价)
邪恶力量 第十三季,9.0,(602人评价)
吸血鬼日记 第一季,8.3,(75317人评价)
广告狂人 第一季,8.6,(26592人评价)
汉尼拔 第一季,8.1,(36831人评价)
豪斯医生 第一季,8.9,(32599人评价)
摩登家庭 第八季,9.3,(13450人评价)
生活大爆炸  第五季,9.0,(84056人评价)
闪电侠 第一季,7.5,(15808人评价)
摩登家庭 第二季,9.5,(39060人评价)
生活大爆炸 第七季,9.0,(49770人评价)
老友记  第九季,9.7,(35709人评价)
纸牌屋 第二季,9.2,(68613人评价)
傲骨贤妻 第七季,9.2,(12597人评价)
生活大爆炸 第八季,8.9,(34694人评价)
绝命毒师  第四季,9.3,(50123人评价)
新闻编辑室 第三季,9.5,(15435人评价)
冰血暴 第三季,8.2,(13489人评价)
大西洋帝国 第一季,8.9,(19201人评价)
迷失 第一季,8.5,(52804人评价)
美国恐怖故事：谋杀屋 第一季,7.7,(43896人评价)
怪奇物语 第三季,0.0,(尚未播出)
了不起的麦瑟尔女士 第二季,0.0,(尚未播出)
闪电侠 第四季,6.3,(1230人评价)
非典型孤独,8.5,(3321人评价)
绝望主妇 第一季,8.7,(54680人评价)
生活大爆炸 第六季,8.9,(75275人评价)
太平洋战争,8.8,(27003人评价)
绯闻女孩 第一季,7.9,(91711人评价)
犯罪心理 第十三季,8.4,(1118人评价)
无耻之徒(美版) 第六季,9.4,(16147人评价)
硅谷 第二季,9.2,(17176人评价)
亿万 第二季,9.3,(7009人评价)
越狱  第二季,8.4,(60870人评价)
老友记  第八季,9.7,(36458人评价)
摩登家庭  第三季,9.5,(34337人评价)
我爱上的人是奇葩 第三季,8.8,(4624人评价)
疑犯追踪 第二季,9.4,(27827人评价)
破产姐妹 第二季,8.8,(96532人评价)
妙警贼探 第一季,8.6,(35521人评价)
双峰 第一季,8.9,(8283人评价)
怪奇背后,8.7,(588人评价)
地球X危机,7.8,(82人评价)
我爱上的人是奇葩 第二季,8.6,(7368人评价)
心灵猎人 第二季,0.0,(尚未播出)
疑犯追踪 第五季,9.3,(20086人评价)
纸牌屋 第三季,8.3,(37376人评价)
黑客军团 第一季,7.8,(10619人评价)
海豹突击队,7.4,(429人评价)
风骚律师 第二季,9.4,(19180人评价)
冰血暴 第二季,9.2,(26802人评价)
西部世界 第二季,0.0,(尚未播出)
邪恶力量 第一季,8.5,(26092人评价)
罗马 第一季,8.9,(18752人评价)
实习医生格蕾 第十四季,9.2,(1393人评价)
河谷镇 第一季,6.9,(1018人评价)
星际迷航：发现号 第一季,7.8,(2238人评价)
神盾局特工 第二季,8.2,(21348人评价)
初来乍到 第一季,8.3,(6620人评价)
苍穹浩瀚 第一季,8.3,(5594人评价)
硅谷 第三季,9.2,(13640人评价)
衰女翻身 第一季,7.6,(3464人评价)
超胆侠 第二季,8.5,(5794人评价)
血族 第四季,7.1,(4236人评价)
哥谭 第一季,8.0,(12592人评价)
摩登家庭 第七季,9.3,(16816人评价)
犯罪现场调查 第一季,9.0,(21011人评价)
